Elapsed Time: 102.24 seconds | Position: x=-3.36, y=16.32
Elapsed Time: 102.45 seconds | Position: x=-3.42, y=16.44
Elapsed Time: 103.10 seconds | Position: x=-3.46, y=16.54
Elapsed Time: 103.10 seconds | Position: x=-3.51, y=16.63
Elapsed Time: 103.16 seconds | Position: x=-3.56, y=16.74
Elapsed Time: 103.44 seconds | Position: x=-3.60, y=16.85
Elapsed Time: 103.63 seconds | Position: x=-3.66, y=16.95
Elapsed Time: 103.94 seconds | Position: x=-3.71, y=17.06
Elapsed Time: 104.13 seconds | Position: x=-3.76, y=17.15
Elapsed Time: 104.34 seconds | Position: x=-3.82, y=17.25
Elapsed Time: 104.65 seconds | Position: x=-3.89, y=17.35
Elapsed Time: 105.17 seconds | Position: x=-3.96, y=17.44
Elapsed Time: 105.17 seconds | Position: x=-4.05, y=17.53
Elapsed Time: 105.34 seconds | Position: x=-4.14, y=17.63
Elapsed Time: 105.54 seconds | Position: x=-4.22, y=17.70
Elapsed Time: 105.77 seconds | Position: x=-4.31, y=17.78
Elapsed Time: 106.05 seconds | Position: x=-4.42, y=17.85
Elapsed Time: 106.24 seconds | Position: x=-4.51, y=17.90
Elapsed Time: 106.54 seconds | Position: x=-4.62, y=17.97
Elapsed Time: 106.84 seconds | Position: x=-4.72, y=18.01
Elapsed Time: 108.96 seconds | Position: x=-4.73, y=18.01
Elapsed Time: 109.56 seconds | Position: x=-4.82, y=18.07
Elapsed Time: 110.04 seconds | Position: x=-4.92, y=18.12
Elapsed Time: 110.55 seconds | Position: x=-5.02, y=18.17
Elapsed Time: 110.84 seconds | Position: x=-5.13, y=18.19
Elapsed Time: 111.57 seconds | Position: x=-5.28, y=18.21
Elapsed Time: 111.58 seconds | Position: x=-5.46, y=18.20
Elapsed Time: 111.95 seconds | Position: x=-5.64, y=18.17
Elapsed Time: 112.15 seconds | Position: x=-5.76, y=18.16
Elapsed Time: 112.54 seconds | Position: x=-5.90, y=18.10
